יוצא מידי
מקדם 0.01919
שכת 0.01281

הם חזרו
הביתה 0.01605
והדגישו 0.01369
ואמרו 0.01314
בתשובה 0.01262
לארץ 0.00922

לומר לך
משהו 0.01201
שאם 0.01024
שאין 0.00956
שלא 0.00839
שאני 0.00571

לבקר אצל
הרב 0.01614
רופא 0.01151
הרבי 0.01039
רבי 0.01025
אביו 0.00866

הלא אני
רואה 0.01836
אמרתי 0.01598
בעצמי 0.01407
הייתי 0.01382
אינני 0.01271

לשם מתן
תוקף 0.04545
עזרה 0.03914
תשובה 0.03653
הלוואות 0.0317
ביטוי 0.02645

בנימין בן
יעקב 0.14728
אליעזר 0.05087
משה 0.04264
יונה 0.01865
אליהו 0.01745

באופן שאין
כאן 0.02143
שום 0.0184
למעלה 0.01725
חשש 0.01238
אנו 0.01036

מקבל שכר
בעד 0.02194
עבור 0.01591
גם 0.01511
טוב 0.01449
כולם 0.01199

אלא שאני
אומר 0.05201
רואה 0.02637
עושה 0.02011
שונה 0.0149
רוצה 0.01483

אלא שאנו
אומרים 0.03852
רואים 0.02978
מוצאים 0.02811
צריכים 0.02541
יודעים 0.01882

בסוף תקופת
בית 0.06167
הגאונים 0.05551
הברונזה 0.05378
המנדט 0.04465
התנאים 0.03667

לשלם מס
הכנסה 0.04028
גולגולת 0.0395
שפתיים 0.0269
מיוחד 0.02688
שנתי 0.02457

אלא שבכל
דור 0.09686
פעם 0.05584
יום 0.0501
מקרה 0.01539
שנה 0.01291

מודה אני
לפניך 0.18308
לך 0.04023
ומתוודה 0.02337
לכם 0.00993
ומתודה 0.00692

שום זכות
קיום 0.01436
מוסרית 0.0099
בעולם 0.00854
אלא 0.00789
כלל 0.00688

בחצי האי
ערב 0.15562
האיברי 0.15451
סיני 0.11597
קרים 0.09761
הערבי 0.02292

קבלת פנים
מפוארת 0.02725
חמה 0.02678
חגיגית 0.02649
נלהבת 0.01881
רשמית 0.01335

הם רק
בבחינת 0.00461
מעט 0.00443
בגדר 0.00398
הם 0.00391
כדי 0.00365

מלאה הארץ
דעה 0.23499
חמס 0.11195
קניניך 0.03245
חמם 0.02133
קנינך 0.0193

נוכל לומר
שהוא 0.01081
גם 0.0082
שלא 0.0081
שיש 0.0058
כך 0.00564

הכהן הגדול
ביום 0.02004
מאחיו 0.01424
בבית 0.00512
עומד 0.00422
שהיה 0.00369

כפי שאמרתי
לך 0.06346
קודם 0.02535
לעיל 0.02534
לכם 0.01885
למעלה 0.01636

בתקופה שלפני
מלחמת 0.10283
המלחמה 0.0721
קום 0.04631
הקמת 0.03366
השואה 0.0177

בן יאיר
בן 0.0289
אומר 0.01675
תורה 0.00876
שהיה 0.00766
שלא 0.00553

ידי אנשים
שונים 0.04775
פרטיים 0.04493
בעלי 0.02237
אחרים 0.02162
שאינם 0.02073

עוד ארבעה
אנשים 0.03741
חודשים 0.02568
עשר 0.02373
חברים 0.02358
ילדים 0.0192

משרד החוץ
הבריטי 0.0552
הצרפתי 0.02585
הגרמני 0.0247
הישראלי 0.02124
האמריקני 0.01163

אורח החיים
היהודי 0.05901
הדתי 0.04386
המסורתי 0.02502
הקיבוצי 0.01017
האמריקני 0.00941

הצד השוה
שבהם 0.19499
שבהן 0.19285
שבכל 0.03509
שבין 0.02446
שבכולם 0.01745

פרק הזמן
שבו 0.05102
שבין 0.05045
הקצר 0.03138
הארוך 0.02097
הנדון 0.01409

לפני כמאה
שנה 0.49927
שנים 0.11427
וחמישים 0.07696
ועשרים 0.03268
וחמשים 0.02296

כך למשל
כותב 0.00605
כתב 0.00445
אנו 0.00332
ניתן 0.00249
נאמר 0.00224

לאט לאט
החלו 0.00527
גם 0.00514
התחילו 0.00423
אני 0.00369
הם 0.00296

המרכז לחקר
הפולקלור 0.11087
המדיניות 0.07565
החברה 0.05592
תולדות 0.05354
יהדות 0.03028

השאיר אחריו
ברכה 0.0808
בן 0.03
בנים 0.0211
ספרים 0.01398
בכתובים 0.01383

שלא למדו
תורה 0.11229
כלל 0.02982
עדיין 0.01934
אביו 0.01504
בבית 0.01391

הצבא הבריטי
בארץ 0.03335
במזרח 0.01033
במלחמת 0.00469
במצרים 0.00461
— 0.00423

שמונה עשרה
שנה 0.08269
ברכות 0.03066
שנים 0.0185
לחופה 0.01205
שעות 0.01105

לארץ בשנת
1920 0.02008
1934 0.01999
1925 0.01901
1935 0.01615
1924 0.01573

לקיים מצות
עשה 0.08104
מילה 0.02109
התורה 0.01969
פריה 0.0173
בוראו 0.01708

שבהם אנו
מוצאים 0.06817
עוסקים 0.05249
דנים 0.04679
רואים 0.04126
חיים 0.03818

אחדים מבני
המשפחה 0.03967
הקהילה 0.03349
משפחתו 0.02998
עמנו 0.02538
משפחת 0.02423

שלוש שנים
לאחר 0.03159
לפני 0.01805
קודם 0.01489
רצופות 0.01066
וחצי 0.00998

שאם אתה
אומר 0.20339
רוצה 0.03644
עושה 0.02629
רואה 0.01123
מאבדה 0.00927

שלוש שנות
מאסר 0.06176
לימוד 0.0528
עבודה 0.02425
שירות 0.01907
המלחמה 0.01878

בספר אור
החיים 0.0933
זרוע 0.08961
שמח 0.02722
חדש 0.02647
החמה 0.02358

להגיע לאותה
מסקנה 0.06457
מטרה 0.06156
תוצאה 0.05258
מדרגה 0.0382
דרגה 0.03026

אני משער
שהוא 0.01701
לעצמי 0.01336
שזה 0.01165
שלא 0.01136
שגם 0.00882

כחוט השני
לאורך 0.04416
דרך 0.02784
שפתותיך 0.02143
גם 0.01202
עוברת 0.01177

אני מזכיר
היום 0.12161
לך 0.03801
כאן 0.01942
לעצמי 0.01516
לכם 0.01428

שומע אני
יהא 0.03397
אפילו 0.03334
קול 0.01474
יעשה 0.01091
שהוא 0.01052

להביא ראיה
לזה 0.02053
לדבריו 0.01502
מדברי 0.01237
ברורה 0.01102
לדברי 0.01092

מיני דברים
כאלה 0.0279
אחרים 0.01905
שלא 0.01594
טובים 0.01186
קטנים 0.00882

אנשי משרד
החוץ 0.35631
החינוך 0.06692
המושבות 0.03936
הביטחון 0.03552
הפנים 0.03497

יורה דעה
סימן 0.14834
ואת 0.01594
הלכות 0.00866
סוף 0.00672
וחושן 0.00449

אינו ראוי
לאכילה 0.02602
לכך 0.0218
לבילה 0.01143
אלא 0.00988
כלל 0.00978

אלא שהיא
גם 0.03909
אינה 0.01306
עצמה 0.01037
באה 0.00973
צריכה 0.00567

אלא שהיה
צריך 0.01358
גם 0.01262
קשה 0.01143
סבור 0.00947
עושה 0.00865

בן תשעים
שנה 0.17563
ותשע 0.14565
לשוח 0.04729
ושמונה 0.03248
ואחת 0.02803

בספר בית
יוסף 0.05571
דוד 0.04966
מאיר 0.0487
הלוי 0.04226
אהרן 0.03765

אלא שהוא
גם 0.02092
עצמו 0.01436
אינו 0.01023
מוסיף 0.00977
עושה 0.00702

כזה אינו
יכול 0.08887
קיים 0.0462
אלא 0.03983
אפשרי 0.0191
בנמצא 0.01849

להציג בפני
הקורא 0.08558
הציבור 0.03792
העולם 0.02435
התלמידים 0.0167
העם 0.01432

הפרק האחרון
בספר 0.03048
בתולדות 0.01313
עוסק 0.0096
מוקדש 0.00861
דן 0.00822

ספרית פועלים
הוצאת 0.02091
/ 0.00766
והקיבוץ 0.00689
ואוניברסיטת 0.00334
והוצאת 0.00303

מלך יהודה
שהיה 0.00619
מלך 0.00601
אני 0.0055
שבא 0.00492
ובימי 0.00434

בימים ההם
בזמן 0.00627
עוד 0.00521
ובזמן 0.00447
עדיין 0.00408
גם 0.0036

כאן אפשר
לראות 0.05485
לומר 0.05297
למצוא 0.03305
לפרש 0.02297
להבחין 0.02009

שלא לשמה
שמתוך 0.0269
נוח 0.01243
רק 0.00594
יבוא 0.00593
פסולה 0.00588

שבע רצון
ומלא 0.02869
מאד 0.01335
מאוד 0.01012
מעצמו 0.00963
מכך 0.00712

בשבת שלפני
ראש 0.09537
פורים 0.06242
החתונה 0.05405
יום 0.04381
חג 0.03795

בעשור הראשון
למדינה 0.06511
לקיומה 0.05259
לקיום 0.03001
למאה 0.0256
והשני 0.01493

ברבי אליעזר
ורבי 0.14858
בן 0.08618
שירד 0.05423
שנכנס 0.0434
שהיה 0.03726

העולם היהודי
כולו 0.02377
המסורתי 0.0094
הישן 0.00922
הגדול 0.00641
והעולם 0.0052

משהו שלא
כשורה 0.02284
ניתן 0.01739
הבנתי 0.01555
ידעתי 0.01398
יכולתי 0.01298

ואף אני
הייתי 0.02275
עצמי 0.01896
איני 0.01595
אומר 0.01559
אענה 0.01508

מפני תקנת
השבים 0.21634
השוק 0.08433
המועדות 0.06752
חכמים 0.05002
עגונות 0.03608

שיצא מבית
האסורים 0.08327
דין 0.05962
קדשי 0.05638
מדרשו 0.04511
המקדש 0.04484

עשרים שנות
קיומה 0.03942
קיום 0.03554
חייו 0.03024
מאסר 0.02971
עבודה 0.02929

הרי אינו
יכול 0.07363
אלא 0.06799
ראוי 0.01907
דומה 0.01642
חייב 0.01453

הרב המגיד
הקדוש 0.0237
הגדול 0.0192
משנה 0.01774
בפרק 0.01317
ממעזריטש 0.00852

המלך שלמה
מעצי 0.01908
ע 0.0088
בעציון 0.00751
לבנות 0.00589
מלך 0.00557

בי רבי
בון 0.16744
יוסי 0.06383
חייא 0.06259
שמעון 0.03389
יהודה 0.03219

נמצא בבית
הכנסת 0.04063
הספרים 0.02623
המדרש 0.02361
הספר 0.01768
הקברות 0.01172

משום שאינו
יכול 0.08213
רוצה 0.03371
ראוי 0.02348
אלא 0.01956
רואה 0.0109

משום שאינם
יכולים 0.0569
יודעים 0.05515
רוצים 0.03895
מסוגלים 0.0191
אלא 0.01543

שר צבא
מלך 0.02011
רומי 0.01594
ארם 0.01357
יבין 0.01272
דוד 0.01188

ובית הלל
אומרים 0.22504
מתירין 0.01693
סברי 0.01226
מכשירין 0.00938
אומרין 0.00863

כמעט בלתי
אפשרי 0.12786
אפשרית 0.07704
מוגבל 0.01807
נמנע 0.01752
נמנעת 0.01497

מלכות שמים
שלימה 0.0141
ועול 0.01369
שלמה 0.00987
באהבה 0.00915
בעולם 0.00555

היהודי בארצות
הברית 0.17055
הגולה 0.05442
שונות 0.02955
אירופה 0.02817
המערב 0.02243

קצין בצבא
הבריטי 0.0728
הפולני 0.06134
התורכי 0.05653
האוסטרי 0.05103
האדום 0.04885

אינו מזכיר
כלל 0.08972
אלא 0.01516
כאן 0.01175
שום 0.00934
במפורש 0.00902

ביניהם לבין
עצמם 0.22044
שכניהם 0.00944
היהודים 0.00919
אביהם 0.00822
אנשי 0.00709

אינו רואה
סימן 0.06016
עצמו 0.02104
ואינו 0.01775
שום 0.01611
אלא 0.01478

השנה ועד
אחרית 0.3976
יום 0.16868
אהרית 0.02752
סופה 0.02313
ראש 0.02059

אלא שאין
אנו 0.03624
כאן 0.02038
דורו 0.01224
הם 0.01123
אני 0.00805

בקרב הנוער
היהודי 0.14457
הלומד 0.02413
הציוני 0.01853
העברי 0.0151
העובד 0.01495

מבקש אני
ממך 0.05898
מכם 0.03052
להודות 0.01452
לומר 0.01335
להעיר 0.01309

נפתחה הדלת
ונכנס 0.0435
ונכנסה 0.0136
לרווחה 0.01106
ובפתח 0.01072
ברעש 0.0078

שהוא מקור
החיים 0.03969
הטוב 0.01755
חיים 0.01657
הברכה 0.01582
הרחמים 0.0152

שעה לפני
הזמן 0.03668
חצות 0.02296
השקיעה 0.01947
המועד 0.01886
שקיעת 0.01696

היהודים בעולם
כולו 0.07225
היווני 0.0249
ההלניסטי 0.01577
החופשי 0.00794
— 0.00579

להופיע לפני
בית 0.05568
הוועדה 0.04501
ועדת 0.02821
הועדה 0.0241
קהל 0.02122

כה רבים
הם 0.012
וכה 0.00679
ושונים 0.00597
מבני 0.0058
— 0.00493

שמשים עצמו
כמי 0.13507
כשיריים 0.11505
אכזרי 0.09258
כשירים 0.06092
כמדבר 0.05745

ניתן ללמוד
גם 0.03317
מכך 0.01495
מתוך 0.01482
מכאן 0.01043
מדברי 0.00765

לדעת רוב
הפוסקים 0.23011
החוקרים 0.10766
הראשונים 0.06442
המפרשים 0.05163
חכמי 0.02026

לדעת רבי
יהודה 0.15383
מאיר 0.0764
יוסי 0.06647
עקיבא 0.06339
אליעזר 0.05607

תנועת השחרור
הלאומית 0.10411
הלאומי 0.09081
העברית 0.04138
היהודית 0.03617
הערבית 0.02429

אינו רוצה
לומר 0.03547
לקבל 0.01587
לעשות 0.01113
לשמוע 0.01043
לאכול 0.00995

איך הם
יכולים 0.03047
נראים 0.01674
חיים 0.01492
עושים 0.01156
הגיעו 0.01

אילו היינו
בסנהדרין 0.03078
יכולים 0.02468
יודעים 0.01933
צריכים 0.01762
אומרים 0.01517

רצה לומר
שלא 0.01244
שהוא 0.00849
שאין 0.00666
משהו 0.00622
שהיה 0.00349

שלום בן
יוסף 0.08973
יחיא 0.04065
יבש 0.03676
שלמה 0.03313
שלום 0.02807

להביא בחשבון
גם 0.06348
אפשרות 0.00902
רק 0.00677
גורמים 0.00437
עוד 0.0035

מראשיתה ועד
סופה 0.19638
ימינו 0.11153
היום 0.10666
אחריתה 0.03413
סוף 0.02027

אלו הם
דברים 0.01107
רק 0.00844
בעלי 0.00663
סוד 0.00601
גם 0.00474

שעה קלה
לפני 0.02951
לאחר 0.02517
קודם 0.01293
בלבד 0.00689
חזר 0.00681

רבה בקרב
יהודי 0.04138
היהודים 0.03924
הציבור 0.03565
אנשי 0.01862
הנוער 0.01843

פרט ופרט
שבו 0.00715
מישראל 0.00599
שבה 0.00552
בפני 0.00527
— 0.0038

אילו הייתי
אני 0.04245
צריך 0.01889
אומר 0.01843
רוצה 0.01742
יכול 0.01473

שאינה ראויה
לאכילה 0.02856
לילד 0.0272
שמה 0.0257
לגר 0.0239
לביאה 0.02186

לכן אנו
אומרים 0.08688
מוצאים 0.05294
מבקשים 0.04812
צריכים 0.02943
רואים 0.02778

לכן אני
אומר 0.08238
מציע 0.04809
מבקש 0.04122
רוצה 0.02632
חושב 0.02565

מטעם ממשלת
המנדט 0.11427
בריטניה 0.0717
ארצות 0.03591
צרפת 0.03541
פולין 0.03243

לכן אמר
הכתוב 0.03002
רבי 0.01143
משה 0.01056
כאן 0.00951
המדרש 0.00754

וארבע מאות
שנה 0.25342
אלף 0.02581
שנים 0.02553
וארבעים 0.01693
רכב 0.01083

הביא בשם
ספר 0.04334
רבינו 0.02578
הרב 0.01503
תשובת 0.01312
הירושלמי 0.01242

משך הזמן
שבו 0.02957
הדרוש 0.02032
הארוך 0.01874
ההוא 0.01238
הנדרש 0.01215

לשאת בעול
הכבד 0.01802
ההוצאות 0.01764
הפרנסה 0.01675
האחריות 0.01369
המסים 0.01119

שלא לקבל
פרס 0.11022
שום 0.02427
פרם 0.02291
עוד 0.01345
עדות 0.012

אינו מרגיש
כלל 0.0437
שום 0.02457
עצמו 0.02426
בעצמו 0.01231
שהוא 0.01223

להביא קרבן
חטאת 0.0395
עולה 0.02212
תודה 0.01942
עשיר 0.01254
מעילה 0.01001

הם חושבים
שהם 0.02812
שאני 0.02171
שזה 0.01247
שיש 0.01042
לעצמם 0.00887

שהוא משום
שבות 0.08778
שלא 0.01713
רפואה 0.01376
שאין 0.01319
כבוד 0.01097

מוצאת חן
בעיני 0.39256
בעיניו 0.1682
בעיניך 0.10814
בעיניהם 0.04273
בעיניה 0.03139

שאפשר יהיה
להשתמש 0.01712
להגיע 0.0133
לעשות 0.00922
לראות 0.00858
למצוא 0.00717

משא ומתן
ממושך 0.01803
ישיר 0.01365
ארוך 0.01247
מייגע 0.00788
לשלום 0.00776

הם חיים
וקיימים 0.02107
חיי 0.01026
בעולם 0.00725
עדנה 0.00664
יחד 0.00477

שהיה קודם
לכן 0.16267
החטא 0.02305
מתן 0.02033
הבריאה 0.00876
בריאת 0.00794

בתנועה הציונית
העולמית 0.02302
וביישוב 0.00857
ברוסיה 0.00623
ובישוב 0.00613
— 0.00456

יכולה לשמש
בסיס 0.03694
דוגמה 0.0332
גם 0.02285
יסוד 0.01928
תחליף 0.01364

שלא לצאת
ידי 0.03611
אינו 0.01461
למלחמה 0.01404
לדרך 0.0109
חוץ 0.00899

האמור לעיל
עולה 0.0234
נראה 0.01385
ברור 0.01377
ניתן 0.01359
אפשר 0.01089

לרגל יום
הולדתו 0.15843
השנה 0.12936
העצמאות 0.07516
הולדתה 0.02261
הולדת 0.01911

תפקיד מרכזי
בעיצוב 0.01956
בחיי 0.01627
בתהליך 0.01366
ביצירת 0.00804
גם 0.00768

עצמו אינו
אלא 0.06138
יכול 0.05442
נמחק 0.01468
ראוי 0.01136
צריך 0.01073

בשביל יהודי
גרמניה 0.03811
רוסיה 0.03436
ארץ 0.03233
פולין 0.03175
הגולה 0.02074

שגם הם
יהיו 0.00948
עצמם 0.00646
יכולים 0.00628
יוכלו 0.00551
בכלל 0.00491

הלא המה
בעבר 0.0311
כתובים 0.02664
הרב 0.01511
ראשי 0.00899
בכתובים 0.00711

בימי השלטון
הבריטי 0.0648
הנאצי 0.06073
התורכי 0.05731
הסובייטי 0.05574
העות 0.04575

סמוך לבית
הכנסת 0.11509
הקברות 0.03925
המדרש 0.0251
לחם 0.02145
המקדש 0.01612

אנו עוסקים
כאן 0.08764
בתורה 0.02706
אלא 0.0108
עתה 0.01036
רק 0.00834

יכול לראות
איך 0.00885
מראש 0.00778
אותי 0.00717
אותך 0.0069
עצמו 0.00675

באו אלא
כדי 0.10492
לשם 0.02707
לעזור 0.01803
מתוך 0.01244
משום 0.0121

איננה יכולה
לשמש 0.02644
להתקיים 0.02302
לעמוד 0.01572
לבוא 0.01508
לעשות 0.01156

אפשר גם
לומר 0.03003
לראות 0.01572
להבין 0.01503
אפשר 0.01292
להניח 0.01233

שהיו קרובים
אליו 0.03853
ללבו 0.02983
למלכות 0.02377
מאוד 0.02084
ביותר 0.02003

שלא נכתב
לשם 0.02081
בתורה 0.01809
אלא 0.01527
בפירוש 0.0136
השטר 0.01147

כלפי חוץ
וכלפי 0.01623
— 0.00828
והן 0.00354
הם 0.00344
בלבד 0.00324

וחמש שנות
מאסר 0.04963
חייו 0.04472
חיים 0.04384
קיומו 0.03658
עבודה 0.03275

אני אבוא
אליך 0.06671
לביתך 0.02024
לבקר 0.01807
אחריך 0.01616
אתך 0.01487

כלל כיון
שאין 0.05012
שלא 0.04232
שהוא 0.03371
דלא 0.03212
שאינו 0.02669

וחמש שנים
לאחר 0.02926
לפני 0.01177
קודם 0.009
רצופות 0.00776
עברו 0.00738

לכן גם
כאן 0.01542
אני 0.01406
הם 0.01205
עתה 0.00901
אתה 0.00645

היהודים בעלי
השכלה 0.03804
נתינות 0.03422
הנתינות 0.0339
אזרחות 0.02982
האזרחות 0.0288

בעלי המלאכה
היהודים 0.06637
היהודיים 0.02039
והסוחרים 0.01442
והפועלים 0.00984
הנוצרים 0.00781

בן רבינו
יצחק 0.05722
יהודה 0.05084
קלונימוס 0.04706
שמואל 0.0441
משה 0.03768

ואמר בקול
רם 0.10909
נמוך 0.04576
שקט 0.02292
רך 0.01721
רועד 0.0142

בהיותה בת
שש 0.04682
עשרים 0.04283
ארבע 0.04091
שלוש 0.03982
שבע 0.03823

אינו זקוק
כלל 0.02376
לשום 0.02292
עוד 0.02224
לכך 0.01469
לבער 0.0114

שאני יכול
לעשות 0.06823
לומר 0.03957
להגיד 0.02514
לתת 0.01584
לראות 0.0151

כך נוכל
להבין 0.06892
לומר 0.04178
לעמוד 0.03331
למצוא 0.02765
גם 0.02436

כך נוצר
מצב 0.09903
קשר 0.02074
הרושם 0.0196
הקשר 0.01563
מעגל 0.01401

העובדה שלא
ניתן 0.01937
נמצא 0.01302
תמיד 0.01105
נמצאו 0.0092
רק 0.00905

להתפלל תפלת
ערבית 0.17981
מנחה 0.12853
שחרית 0.0823
המנחה 0.04871
מוסף 0.04023

שבע השנים
האחרונות 0.0719
הטובות 0.04313
הראשונות 0.04001
הבאות 0.02
הרעות 0.01944

כדי שנוכל
לעמוד 0.03598
לומר 0.01956
להמשיך 0.01889
להבין 0.01717
לעשות 0.01478

שהיה קיים
לפני 0.03742
בארץ 0.02127
גם 0.01639
עוד 0.01336
קודם 0.01246

אני אהיה
לך 0.0298
בסדר 0.01757
עמך 0.01209
כאן 0.01209
עמהם 0.01002

מעבר לים
המלח 0.01339
התיכון 0.00875
הגדול 0.00714
— 0.00676
כדי 0.00311

ביום ראשון
בבוקר 0.02742
בשבוע 0.0136
בערב 0.00836
בשבת 0.00656
בלבד 0.00551

אתה היית
צריך 0.02592
עושה 0.01675
יכול 0.01378
עוזר 0.01206
הראשון 0.01131

בלתי ניתנת
לערעור 0.09404
להשגה 0.04664
לחלוקה 0.04241
לשינוי 0.04143
להפרדה 0.03779

כלפי העם
היהודי 0.27411
ואחוריהם 0.02278
העברי 0.01689
כולו 0.01422
הערבי 0.01385

אנשי המשטרה
היהודית 0.10696
הצבאית 0.03509
החשאית 0.03106
הגרמנית 0.01896
הבריטית 0.01399

גם בספרי
דברים 0.02227
הנביאים 0.02038
הלימוד 0.01745
קבלה 0.01589
המקרא 0.0139

חוץ ממה
שעשו 0.03835
שהוא 0.03743
שיש 0.0374
שהיה 0.03724
שלא 0.0177

מעבר לקו
הירוק 0.22882
הגבול 0.02561
שביתת 0.01808
החזית 0.01722
האופק 0.01367

כעשר שנים
לאחר 0.06429
לפני 0.0471
קודם 0.02217
מאוחר 0.00677
עברו 0.00523

אני אוהב
אותך 0.18472
אתכם 0.01193
מאוד 0.01173
לראות 0.00579
מאד 0.00577

לאל ידו
לעשות 0.06999
להושיע 0.01622
כדי 0.01363
לשלם 0.01025
להוציא 0.00879

תרומות ומעשרות
מפירות 0.00738
ושביעית 0.0069
בזמן 0.00682
וחלה 0.00592
בשבת 0.00582

לאל ידם
לעשות 0.04533
להושיע 0.02194
כדי 0.02076
לשלם 0.01581
לתת 0.0083

לישא אשה
אחרת 0.09443
ולהוליד 0.02473
רוצה 0.01684
כדי 0.01463
יקנה 0.00949

שיש בידו
למחות 0.05764
תורה 0.03485
לעשות 0.0206
הלכות 0.01251
עבירה 0.01177

אנשים שלא
ידעו 0.02789
יכלו 0.01615
הכירו 0.0126
הכרתי 0.01146
ראו 0.00957

אני עוד
זוכר 0.03093
מעט 0.01945
זוכרת 0.01503
פעם 0.01015
אראה 0.00993

אמרה בקול
רם 0.07995
נמוך 0.03515
שקט 0.03379
רפה 0.02307
רועד 0.02091

שגם אני
הייתי 0.05275
רוצה 0.01508
אהיה 0.01084
וגם 0.01032
יכול 0.00992

קשר ישיר
ביניהם 0.00859
בינו 0.00557
ובלתי 0.00502
לנושא 0.00502
והדוק 0.00473

ראשית המאה
העשרים 0.13676
הי 0.06116
התשע 0.03457
הנוכחית 0.01574
הרביעית 0.01519

האומות המאוחדות
בנובמבר 0.00758
— 0.0073
אנו 0.00591
בדבר 0.00531
החלטה 0.00513

כיוון שהוא
עצמו 0.01695
אינו 0.01335
רואה 0.01164
רוצה 0.00798
עומד 0.00567

אני כאן
הכל 0.05454
כדי 0.0073
רק 0.00695
ובן 0.00662
— 0.00474

קרוב לודאי
שלא 0.03063
שגם 0.01379
שהוא 0.01279
שהיה 0.0099
שאין 0.00656

שונה לחלוטין
מזו 0.04614
ממה 0.00845
מאשר 0.00684
— 0.00401
מכפי 0.00276

בשני מקומות
שונים 0.02793
אחרים 0.01526
נוספים 0.01373
אלו 0.01364
בלבד 0.01189

כפי שיוצא
מתוך 0.04919
מדברי 0.04671
ברור 0.04423
גם 0.02157
בבירור 0.01908

בסוף מסכת
ברכות 0.07632
מכות 0.05579
סוטה 0.04772
כתובות 0.046
תענית 0.03158

הם עומדים
בפני 0.01825
לפני 0.01781
מול 0.0058
תמיד 0.0054
כאן 0.00535

מדי בוקר
בבוקר 0.02945
וערב 0.01808
בבוקרו 0.01465
לעבודה 0.00862
בשעה 0.00745

הלכי הרוח
בקרב 0.05243
האנטישמיים 0.02216
שרווחו 0.01618
בציבור 0.01542
ששררו 0.01483

מתן תורה
בסיני 0.00637
לישראל 0.00505
בהר 0.00343
שמע 0.00296
אלא 0.00285

אמר שלמה
המלך 0.10691
בחכמתו 0.04746
ע 0.02101
אני 0.01714
טוב 0.00786

בסוף פרק
ראשון 0.02511
קמא 0.01514
אלו 0.01237
רביעי 0.01009
ח 0.00946

במהירות רבה
מדי 0.01381
מאוד 0.01072
ככל 0.00947
ביותר 0.00559
מאד 0.00543

ויהי כשמוע
המלך 0.08828
הרב 0.02553
לבן 0.02481
האיש 0.0235
העם 0.01969

שלא נזכר
כלל 0.0354
שמו 0.03113
בתורה 0.02519
בשום 0.02328
כאן 0.02018

הכסף הדרוש
לכך 0.03092
כדי 0.01904
לרכישת 0.01386
לשם 0.01179
להוצאות 0.01145

כך ניתן
ללמוד 0.05436
להבין 0.05242
לומר 0.03915
להסביר 0.03256
לראות 0.03215

צריכין אנו
לומר 0.11717
למודעי 0.06474
לדון 0.02761
להבין 0.02624
לפרש 0.02503

שלא ניתן
יהיה 0.02096
לומר 0.01554
למצוא 0.0146
לראות 0.01221
עוד 0.0097

אני מאמינה
לך 0.03221
באמונה 0.01468
שיש 0.01373
שהוא 0.01345
באלוהים 0.01141

האלה הם
הם 0.01703
רק 0.01121
גם 0.00727
בעלי 0.00653
ימי 0.00618

פעם ראשונה
ושניה 0.05211
שאני 0.01952
בחיי 0.0116
מאז 0.01103
ושנייה 0.01055

בעלי הכרה
לאומית 0.09552
ציונית 0.03979
מעמדית 0.02803
יהודית 0.02263
דתית 0.02133

אומר אינו
צריך 0.35004
חייב 0.06023
יכול 0.03141
אלא 0.02918
אומר 0.0225

ואינו רוצה
לומר 0.02621
להתפרנס 0.0245
לצאת 0.01576
לשלם 0.01432
לקבל 0.01412

עברו שנים
רבות 0.16765
אחדות 0.07085
מועטות 0.02809
מאז 0.01468
מספר 0.01384

ואינו רואה
אלא 0.01931
עצמו 0.01656
שום 0.0146
ואינו 0.01307
כלום 0.01252

בלשון יחיד
וסיים 0.00465
אלא 0.00462
אני 0.00324
ובלשון 0.0032
אמורות 0.0031

הרב יהודה
ליב 0.10325
לייב 0.08621
אלקלעי 0.03539
הלוי 0.03246
עמיטל 0.02768

שתי הדוגמאות
הללו 0.06161
האחרונות 0.05841
הבאות 0.05268
הבולטות 0.03765
הראשונות 0.03606

וזהו שאמר
הכתוב 0.10802
דוד 0.02033
כאן 0.01593
המדרש 0.01425
שלמה 0.01262

הרי מפורש
יוצא 0.04547
בתורה 0.02306
בדבריו 0.02285
בדברי 0.01989
להדיא 0.01207

בסוף ספר
בראשית 0.01909
שופטים 0.01602
אהבה 0.01532
דברים 0.01526
שמות 0.01492

במה שכתב
הרב 0.05594
רבינו 0.01689
בספר 0.00948
הרמב 0.00876
כאן 0.00674

מצוות התורה
שבכתב 0.00531
— 0.00389
הקדושה 0.00382
אלא 0.00348
הם 0.00326

אתה הולך
למקום 0.03138
ולפני 0.02969
לעשות 0.02049
שמה 0.01881
לפניהם 0.00896

בשביל כבוד
שמים 0.04501
אבא 0.03237
התורה 0.0289
עצמו 0.0281
שמו 0.02746

שתי אותיות
דומות 0.02321
אלו 0.0176
שנאמר 0.00973
בלבד 0.00915
השם 0.00856

ניו יורק
טיימס 0.01724
וירושלים 0.00753
ניו 0.0042
תש 0.00409
תשכ 0.00308

מאות ואלפי
שנים 0.19282
